List1,List2,List3,List4,List6,List7,List8
9671:car,12767:car,14537:car,12209:car,14999:car,14711:car,24912:car
9821:car,14085:car,14566:car,12225:car,15045:car,14732:car,24966:car
9871:car,14133:car,14613:car,12281:car,15351:car,14807:car,25044:car
9886:car,14341:car,14652:car,12325:car,15736:car,14874:car,25855:car
9955:car,14388:car,14686:car,12345:car,15827:car,15106:car,25891:car
9999:car,14448:car,14714:car,12352:car,15859:car,15125:car,26190:car
10131:car,14466:car,14735:car,12376:car,15929:car,15147:car,26223:car
10209:car,14563:car,14779:car,12402:car,16047:car,15167:car,26389:car
10244:car,14611:car,14847:car,12430:car,16057:car,15197:car,26415:car
10259:car,14644:car,14895:car,12449:car,16126:car,15231:car,26790:car
10291:car,14851:car,15186:car,12479:car,16147:car,15280:car,26966:car
10329:car,15091:car,15220:car,12501:car,16436:car,15385:car,26999:car
10352:car,15129:car,15245:car,12520:car,16470:car,15401:car,27391:car
10322:car,15184:car,15248:car,12579:car,16603:car,15441:car,27446:car
10308:car,15239:car,15313:car,12589:car,16710:car,15467:car,27497:car
10477:car,15288:car,15333:car,12598:car,17215:car,15486:car,27847:car
10538:car,15358:car,15370:car,12628:car,17267:car,15502:car,27888:car
10596:car,15464:car,15472:car,12652:car,17351:car,15516:car,27967:car
10641:car,15469:car,15539:car,12658:car,17441:car,15589:car,28008:car
10710:car,15548:car,15643:car,14070:car,17520:car,15637:car,28161:car
10707:car,15616:car,15679:car,14081:car,17686:car,15661:car,28285:car
10833:car,15654:car,15710:car,14130:car,17978:car,15702:car,
11062:car,15691:car,15752:truck,14347:car,18039:car,15726:car,
11427:car,15732:car,15774:car,14369:car,18250:car,15852:car,
11610:car,15900:car,15812:car,14399:car,18291:car,15895:car,
11637:car,16053:car,15911:car,14425:car,18316:car,15928:car,
11750:car,16106:car,16087:car,14446:car,18370:car,16032:car,
11854:car,16143:car,16183:car,14473:car,18401:car,16082:car,
12395:car,16266:car,16420:car,14531:car,18488:car,16115:car,
12619:car,16279:car,16573:car,14567:car,18539:car,16158:car,
12692:car,16341:car,16574:truck,14593:car,19556:car,16196:car,
12769:car,16435:car,16595:car,14632:car,19678:large bus,16301:car,
12982:car,16494:car,17874:car,14663:car,19716:large bus,16325:car,
13703:car,16520:car,17917:car,14752:car,19812:car,16360:car,
13433:car,16539:car,17996:car,14813:car,19831:large bus,16484:car,
13921:car,17900:car,18630:car,14872:car,20035:car,16509:car,
14006:car,17950:car,18678:car,14880:car,20100:car,16526:car,
14221:car,18101:car,19492:car,14919:car,20257:car,17934:car,
14358:car,18631:car,19535:car,15092:car,20837:car,18018:car,
14508:car,18651:car,19589:car,15128:car,20873:car,18054:car,
14525:car,19509:car,19640:car,15144:car,20983:car,18092:car,
14561:car,19559:car,19663:car,15146:car,20993:car,18112:car,
14605:car,19606:car,19850:car,15202:car,21000:car,18647:car,
14612:car,19663:car,19866:car,15227:car,21286:car,18701:car,
14717:car,19778:car,19933:car,15266:car,21324:car,19499:car,
14955:car,19832:truck,20048:car,15359:car,21362:car,19676:car,
14980:car,19900:car,20098:car,15498:car,21400:car,19747:car,
15026:car,19883:car,20146:car,15533:car,21562:car,19824:car,
14992:car,19927:car,20797:car,15693:car,21626:car,19857:car,
15183:car,20067:car,20833:car,15753:car,21645:car,19874:car,
15216:car,20095:car,20866:car,15857:car,21905:car,20008:car,
15197:car,20151:car,20889:car,15949:car,22172:car,20073:car,
15280:car,20189:car,21082:car,16076:car,22223:car,20126:car,
15412:car,20851:car,21117:car,16472:car,22262:car,20742:car,
15455:car,20971:car,21182:car,16495:car,22301:car,20909:car,
15441:car,20982:car,21229:car,16519:car,22391:car,20972:car,
15516:car,21015:car,21234:car,16549:car,22429:car,21030:car,
15642:car,21044:car,21297:car,17394:car,22477:car,21053:car,
15672:car,21076:car,21451:car,17409:car,22659:car,21209:car,
15637:car,21106:car,21466:car,17899:car,22787:car,21276:car,
15727:car,21203:car,21488:car,17923:car,22809:car,21376:car,
15711:car,21224:car,21572:car,17928:car,22921:car,21441:car,
15823:car,21266:car,22772:car,17961:car,22965:car,21479:car,
15890:car,21510:car,22864:car,18015:car,23120:car,21612:car,
15935:car,21625:car,22911:car,18099:car,23140:car,21905:car,
16111:car,21625:truck,22971:car,18652:car,23663:car,22172:car,
16199:car,22693:car,24026:large bus,18689:car,23727:car,22826:car,
16115:car,22793:car,24111:car,19558:car,23990:car,22851:car,
16197:car,22854:car,24300:car,19733:car,24210:car,22896:car,
16234:car,22912:car,24323:car,19816:car,24317:car,22985:car,
16270:car,22967:car,24619:car,19846:car,24408:car,24011:car,
16518:car,23023:car,24622:car,19882:car,24768:car,24035:car,
16526:car,24070:car,24720:car,19933:car,24796:car,24383:car,
16649:car,24096:car,24779:car,19959:car,25580:car,24425:car,
17105:car,24324:car,24793:car,20004:car,25632:car,24477:car,
17156:car,24330:car,24813:car,20019:car,25622:car,24562:car,
17360:car,24363:car,24900:car,20054:car,25727:car,24565:car,
17389:car,24429:car,24935:car,20135:car,25762:car,24657:car,
17480:car,24520:car,24981:car,20756:car,26053:car,24694:car,
17465:car,24547:truck,25850:car,20771:car,26498:car,24778:car,
17571:car,24570:car,25914:car,20796:car,26564:car,24796:car,
17614:car,24655:car,25947:car,20814:car,26667:car,24848:car,
17705:car,24702:car,25981:car,20850:car,26733:car,24888:car,
18011:car,24755:car,26013:car,20975:car,26770:car,25057:car,
18111:car,24828:car,26043:car,21001:car,27183:car,25866:car,
18782:car,24933:car,26057:car,21043:car,27465:car,25913:car,
18803:car,24969:car,26099:car,21062:car,27499:car,25934:car,
18784:car,24991:car,26103:car,21156:car,27520:car,26009:car,
19414:car,24996:car,26117:car,21207:car,27531:car,26072:car,
19427:car,25815:car,26197:car,21265:car,27808:car,26096:car,
19499:car,25873:car,26330:car,21304:car,27873:car,26193:car,
19675:car,25902:car,26343:car,21399:car,27947:car,26215:car,
19623:car,25912:car,26371:car,21409:car,27982:car,26220:car,
19723:car,25970:car,26394:car,21448:car,28000:car,26240:car,
20061:car,25978:car,26391:car,21489:car,28022:car,26338:car,
20153:car,26067:car,26456:car,21573:car,28100:car,26427:car,
20610:car,26099:car,26492:car,21629:car,28122:car,26593:car,
20674:car,26130:car,26523:car,21651:car,28245:car,26781:car,
20705:car,26209:car,26590:car,21869:car,28287:car,26863:car,
20708:car,26238:car,26815:car,22914:car,28328:car,26894:car,
20742:car,26360:car,26896:car,22910:car,,26957:car,
20837:car,26370:car,26917:car,22975:car,,26997:car,
21087:car,26432:car,27013:car,23002:car,,27016:car,
21110:car,26463:car,27098:car,23026:car,,27031:car,
21361:car,26457:car,27205:car,24057:car,,27208:car,
21384:car,26490:car,27299:truck,24102:car,,27217:car,
21395:car,26568:car,27316:car,24301:car,,27261:car,
21521:car,26791:car,27332:car,24338:car,,27338:car,
21504:car,26886:car,27416:car,24382:car,,27380:car,
21517:car,26953:car,27778:car,24431:car,,27407:car,
21604:car,27002:car,27826:car,24522:car,,27428:car,
21612:car,27079:car,27858:car,24649:car,,27465:car,
21727:car,27206:car,27971:car,24680:car,,27479:car,
21756:car,27240:car,28023:car,24710:car,,27499:car,
22499:car,27284:car,28087:car,24766:car,,27841:car,
22568:car,27774:car,28090:car,24787:car,,27897:car,
22667:car,27802:car,28143:car,24807:car,,27986:car,
22784:car,27883:car,28159:car,24863:car,,28019:car,
22882:car,27992:car,28265:car,24901:car,,28174:car,
22945:car,28096:car,,24894:car,,28304:car,
23003:car,28177:car,,24979:car,,,
23607:car,28232:car,,24997:car,,,
23630:car,28226:truck,,25014:car,,,
23783:car,28306:car,,25042:car,,,
23781:car,,,25850:car,,,
23841:car,,,25888:car,,,
23868:car,,,25917:car,,,
23951:car,,,25944:car,,,
24110:car,,,25963:car,,,
24350:car,,,25980:car,,,
24411:car,,,26044:car,,,
24482:car,,,26078:car,,,
24651:car,,,26153:car,,,
24671:car,,,26183:car,,,
24745:car,,,26213:car,,,
24893:car,,,26267:car,,,
25555:car,,,26310:car,,,
25885:car,,,26335:car,,,
25996:car,,,26403:car,,,
26061:car,,,26384:car,,,
26205:car,,,26435:car,,,
26271:car,,,26527:car,,,
26275:car,,,26579:car,,,
26345:car,,,26629:car,,,
26364:car,,,26789:car,,,
26402:car,,,26814:car,,,
26349:car,,,26839:car,,,
26451:car,,,26858:car,,,
26494:car,,,26931:car,,,
26530:car,,,27023:car,,,
26543:car,,,27174:car,,,
26578:car,,,27188:car,,,
26665:car,,,27452:car,,,
26715:car,,,27477:car,,,
26631:car,,,27753:car,,,
26820:car,,,27812:car,,,
26933:car,,,27866:car,,,
27122:car,,,27871:car,,,
27218:car,,,27954:car,,,
27281:car,,,27971:car,,,
27366:car,,,28025:car,,,
27410:car,,,28058:car,,,
27512:car,,,28116:car,,,
27738:car,,,28175:car,,,
27825:small bus,,,28198:car,,,
27825:car,,,28261:car,,,
27845:car,,,28326:car,,,
27845:small bus,,,,,,
28001:car,,,,,,
28078:car,,,,,,
28106:car,,,,,,
28075:car,,,,,,
28236:car,,,,,,
28209:car,,,,,,
28291:car,,,,,,
